City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
116,Lebrija,36.9208,-6.0753,73.62,68,0,ES,5.75,clear sky
117,Kalmunai,7.4167,81.8167,80.47,74,100,LK,3.09,overcast clouds
118,Derzhavinsk,51.1,66.3167,74.55,52,70,KZ,6.26,broken clouds
119,Olafsvik,64.8945,-23.7142,53.85,92,100,IS,1.7,overcast clouds
120,Thompson,55.7435,-97.8558,84.36,32,20,CA,12.66,few clouds
121,Broome,42.2506,-75.833,63.01,96,90,US,3.44,mist
122,Waipawa,-41.4122,175.5153,48.45,76,94,NZ,3.76,overcast clouds
123,Ribeira Grande,38.5167,-28.7,73.29,94,59,PT,14.67,broken clouds
124,Vaini,-21.2,-175.2,73.56,78,20,TO,20.71,few clouds
125,Rio Grande,-32.035,-52.0986,51.91,91,22,BR,6.02,few clouds
126,Kapaa,22.0752,-159.319,84.18,78,90,US,4.0,overcast clouds
127,Dali,25.7,100.1833,60.8,85,29,CN,2.26,scattered clouds
128,Fairbanks,64.8378,-147.7164,74.3,54,75,US,3.44,broken clouds
129,Toktogul,41.8708,72.9402,71.71,47,100,KG,0.36,overcast clouds
130,Atuona,-9.8,-139.0333,77.11,69,31,PF,11.18,scattered clouds
131,Luderitz,-26.6481,15.1594,65.52,37,0,NA,5.95,clear sky
132,Nome,64.5011,-165.4064,53.17,87,90,US,13.8,light rain
133,Cherskiy,68.75,161.3,36.93,82,97,RU,18.99,overcast clouds
134,Port Lincoln,-34.7333,135.8667,52.34,50,19,AU,25.59,few clouds
135,Qaqortoq,60.7167,-46.0333,47.77,85,100,GL,3.44,light rain
136,Salalah,17.0151,54.0924,75.38,92,100,OM,5.91,overcast clouds
137,Bengkulu,-3.8004,102.2655,73.87,89,97,ID,4.21,overcast clouds
138,Jinxiang,27.4327,120.6062,78.8,91,100,CN,5.57,light rain
139,Constitucion,-35.3333,-72.4167,55.38,66,0,CL,10.78,clear sky
140,Lethem,3.3803,-59.7968,76.57,87,95,GY,5.35,overcast clouds
141,Matagami,49.7502,-77.6328,64.51,55,40,CA,13.8,scattered clouds
142,Torbay,47.6666,-52.7314,68.77,68,20,CA,21.85,few clouds
143,Kashan,33.9831,51.4364,89.89,13,99,IR,13.35,overcast clouds
144,Comodoro Rivadavia,-45.8667,-67.5,66.06,19,0,AR,18.41,clear sky
145,Nikolskoye,59.7035,30.7861,63.01,91,26,RU,4.9,scattered clouds
146,Muros,42.7762,-9.0603,64.9,92,100,ES,6.49,overcast clouds
147,Aquidauana,-20.4711,-55.7872,69.8,46,61,BR,6.76,broken clouds
148,Kui Buri,12.0828,99.8543,86.99,77,100,TH,10.83,overcast clouds
149,Pacific Grove,36.6177,-121.9166,84.81,75,32,US,7.0,scattered clouds
150,Praia,14.9215,-23.5087,77.54,69,75,CV,9.22,broken clouds
151,Viedma,-40.8135,-62.9967,52.9,45,1,AR,14.14,clear sky
152,Bairiki,1.3292,172.9752,84.2,70,20,KI,5.75,few clouds
153,Dingle,10.9995,122.6711,77.95,87,100,PH,8.9,overcast clouds
154,Vazante,-17.9869,-46.9078,69.84,46,21,BR,2.1,few clouds
155,Butterworth,5.3991,100.3638,75.99,93,20,MY,2.3,few clouds
156,Sisimiut,66.9395,-53.6735,54.95,61,0,GL,2.24,clear sky
157,Belance,16.1833,121.25,70.77,94,100,PH,5.88,light rain
158,Avarua,-21.2078,-159.775,75.25,94,75,CK,12.66,light rain
159,Alvaraes,-3.2208,-64.8042,80.47,61,62,BR,3.8,broken clouds
160,Sidney,-33.8679,151.2073,50.29,83,20,AU,3.0,few clouds
161,East London,-33.0153,27.9116,62.8,60,29,ZA,19.93,scattered clouds
162,Igarka,67.4667,86.5833,54.99,96,97,RU,5.1,overcast clouds
163,Codrington,-38.2667,141.9667,43.18,84,0,AU,16.02,clear sky
164,Bara,10.3744,10.7288,73.36,95,100,NG,1.92,moderate rain
165,Kavieng,-2.5744,150.7967,82.71,75,3,PG,9.24,clear sky
166,Cozumel,20.5083,-86.9458,89.94,72,12,MX,4.0,few clouds
167,Hofn,64.2539,-15.2082,53.71,94,99,IS,4.76,overcast clouds
168,Okitipupa,6.5047,4.7839,73.56,95,100,NG,2.66,overcast clouds
169,South Lake Tahoe,38.9332,-119.9844,86.63,36,65,US,3.0,broken clouds
170,Najran,17.4924,44.1277,86.65,38,100,SA,7.31,overcast clouds
171,Kruisfontein,-34.0033,24.7314,56.88,77,86,ZA,17.05,overcast clouds
172,Udachnyy,66.4167,112.4,70.16,42,30,RU,4.21,scattered clouds
173,Albanel,48.8832,-72.4487,71.58,53,92,CA,3.44,overcast clouds
174,Maldonado,-34.6667,-54.9167,46.22,90,5,UY,3.62,clear sky
175,Guerrero Negro,27.9769,-114.0611,83.82,54,3,MX,13.38,clear sky
176,Dhanwar,24.4167,85.9833,77.61,86,91,IN,4.12,overcast clouds
177,Porto Novo,6.4965,2.6036,78.62,87,45,BJ,5.08,scattered clouds
178,Camacha,33.0833,-16.3333,68.76,78,20,PT,13.8,few clouds
179,Les Cayes,18.2,-73.75,84.31,73,67,HT,9.31,broken clouds
180,Cervo,43.6702,-7.4101,64.96,83,14,ES,3.62,few clouds
181,Ancud,-41.8697,-73.8203,49.53,80,59,CL,3.62,broken clouds
182,Aklavik,68.2191,-135.0107,83.23,36,98,CA,18.03,overcast clouds
183,Ocampo,21.65,-101.5,76.28,32,34,MX,12.3,scattered clouds
184,Ulladulla,-35.35,150.4667,44.87,88,1,AU,4.18,clear sky
185,Carnarvon,-24.8667,113.6333,50.07,66,0,AU,11.5,clear sky
186,Tromso,69.6496,18.957,46.42,76,75,NO,10.36,broken clouds
187,Zima,53.9202,102.0442,55.78,97,100,RU,10.38,light rain
188,Marion,39.7684,-86.1555,79.34,49,75,US,9.22,broken clouds
189,Guarapari,-20.6667,-40.4975,71.91,72,7,BR,2.68,clear sky
190,Londa,15.4691,74.5191,69.44,93,98,IN,10.6,overcast clouds
191,Krasnovishersk,60.4078,57.082,51.93,97,0,RU,2.28,clear sky
192,Clifton,40.8584,-74.1638,76.64,73,75,US,1.01,broken clouds
193,Tammisaari,59.9736,23.4339,61.29,86,95,FI,12.33,overcast clouds
194,Kabansk,52.0486,106.6528,55.89,86,100,RU,0.4,overcast clouds
195,Kudahuvadhoo,2.6708,72.8944,82.22,72,100,MV,6.96,overcast clouds
196,Poum,-20.2333,164.0167,68.9,57,2,NC,13.31,clear sky
197,Beloha,-25.1667,45.05,66.25,58,0,MG,8.39,clear sky
198,Glen Allen,37.666,-77.5064,85.33,72,85,US,1.99,overcast clouds
199,Phetchaburi,12.9667,99.5833,85.3,76,100,TH,7.38,overcast clouds
