City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
547,547,Manavalakurichi,8.1333,77.3,78.89,78,99,IN,16.15,overcast clouds
548,548,Korla,41.7597,86.1469,75.42,18,100,CN,6.49,overcast clouds
549,549,Kerema,-7.9631,145.7785,76.55,81,91,PG,4.05,overcast clouds
550,550,Redmond,47.674,-122.1215,86.41,55,100,US,1.01,overcast clouds
553,553,Harper,4.375,-7.7169,76.41,78,84,LR,6.58,broken clouds
554,554,Ibra,22.6906,58.5334,86.86,50,100,OM,3.6,overcast clouds
556,556,Takoradi,4.8845,-1.7554,75.51,89,19,GH,5.57,few clouds
557,557,Banda Aceh,5.5577,95.3222,79.74,73,99,ID,15.48,overcast clouds
561,561,Yanam,16.7333,82.2167,83.48,62,100,IN,4.97,overcast clouds
567,567,Sinnamary,5.3833,-52.95,79.56,80,54,GF,7.96,broken clouds
568,568,Pierre,44.3683,-100.351,89.28,30,0,US,1.01,clear sky
569,569,Salinopolis,-0.6136,-47.3561,78.35,81,65,BR,10.29,broken clouds
570,570,Manokwari,-0.8667,134.0833,78.64,81,91,ID,3.44,overcast clouds
572,572,Ormara,25.2088,64.6357,81.43,85,98,PK,16.13,overcast clouds
573,573,Trincomalee,8.5711,81.2335,81.3,75,100,LK,20.69,overcast clouds
576,576,Santa Cruz Del Sur,20.7147,-77.9956,86.41,67,5,CU,5.55,light rain
578,578,Masallatah,32.6167,14.0,84.4,36,0,LY,8.16,clear sky
586,586,Longhua,23.6137,114.1919,78.17,96,88,CN,0.65,overcast clouds
587,587,Acapulco,16.8634,-99.8901,87.53,67,95,MX,8.84,overcast clouds
593,593,Neiafu,-18.65,-173.9833,76.71,60,83,TO,24.0,broken clouds
594,594,Yangjiang,21.85,111.9667,79.09,90,98,CN,3.67,overcast clouds
606,606,Tulum,20.2167,-87.4667,89.92,59,64,MX,6.85,broken clouds
608,608,Seoul,37.5683,126.9778,78.19,94,90,KR,2.3,light rain
609,609,Komsomolskiy,40.4272,71.7189,79.52,34,100,UZ,2.3,overcast clouds
610,610,Eyl,7.9803,49.8164,82.26,63,49,SO,29.8,scattered clouds
612,612,Mapimi,25.8167,-103.85,89.17,28,71,MX,7.16,broken clouds
613,613,Lusambo,-4.9667,23.45,77.11,29,90,CD,1.43,overcast clouds
614,614,Ratnagiri,16.9833,73.3,79.34,84,92,IN,16.46,overcast clouds
616,616,Cajazeiras,-6.8903,-38.5553,76.23,54,20,BR,10.27,few clouds
619,619,Gushikawa,26.3544,127.8686,81.63,88,96,JP,13.62,overcast clouds
623,623,Tabuk,17.4189,121.4443,77.34,85,100,PH,2.08,overcast clouds
625,625,Haapiti,-17.5667,-149.8667,80.33,62,31,PF,8.14,scattered clouds
